state,party,year,sd
AL,R,1997,0.22679950233686486
AL,R,1998,0.2346305644679124
AL,R,1999,0.2541989567753346
AL,R,2e3,0.2541989567753346
AL,R,2001,0.24892608669774943
AL,R,2002,0.24892608669774943
AL,R,2003,0.2592669734670772
AL,R,2004,0.2592669734670772
AL,R,2005,0.28559275623831143
AL,R,2006,0.28559275623831143
AL,R,2007,0.24929392363113875
AL,R,2008,0.24929392363113875
AL,R,2009,0.24929392363113875
AL,R,2010,0.155599222947347
AL,R,2011,0.1778500225924375
AL,R,2012,0.17910026687418865
AL,R,2013,0.17373873494027756
AL,R,2014,0.17275612518194194
AL,R,2015,0.1798304475195245
AL,R,2016,0.15647704494129921
AR,D,1993,0.13570645274883245
AR,D,1994,0.13570645274883245
AR,D,1995,0.13772773673840952
AR,D,1996,0.13772773673840952
AR,D,1997,0.1378885159034553
AR,D,1998,0.1378885159034553
AR,D,1999,0.13740100359703955
AR,D,2e3,0.13740100359703955
AR,D,2001,0.16757033659403273
AR,D,2002,0.16757033659403273
AR,D,2003,0.17662198642002785
AR,D,2004,0.17662198642002785
AR,D,2005,0.18292636381195793
AR,D,2006,0.18292636381195793
AR,D,2007,0.1556176013111558
AR,D,2008,0.1556176013111558
AR,D,2011,0.2849162902552786
AR,D,2012,0.33434835815087094
AR,D,2013,0.36225528790760425
AR,D,2014,0.36225528790760425
AR,D,2015,0.3991363533573816
AR,D,2016,0.3993871128028744
AR,R,1993,0.2002691522260314
AR,R,1994,0.2002691522260314
AR,R,1995,0.28090517919214253
AR,R,1996,0.28090517919214253
AR,R,1997,0.30264301859335313
AR,R,1998,0.30264301859335313
AR,R,1999,0.2679034002846137
AR,R,2e3,0.2679034002846137
AR,R,2001,0.25733592984303094
AR,R,2002,0.25733592984303094
AR,R,2003,0.1821770138294513
AR,R,2004,0.1821770138294513
AR,R,2005,0.1630410204170237
AR,R,2006,0.1630410204170237
AR,R,2007,0.21515458008913807
AR,R,2008,0.21515458008913807
AR,R,2011,0.4318242552701429
AR,R,2012,0.4318242552701429
AR,R,2013,0.48023019806885836
AR,R,2014,0.48023019806885836
AR,R,2015,0.4382750614783926
AR,R,2016,0.4415145487684336
AZ,D,1996,0.28988207783100195
AZ,D,1997,0.39793329728851434
AZ,D,1998,0.38938112952686926
AZ,D,1999,0.531868543315377
AZ,D,2e3,0.531868543315377
AZ,D,2001,0.4597018882786501
AZ,D,2002,0.4597018882786501
AZ,D,2003,0.3729547527771266
AZ,D,2004,0.3726274655338431
AZ,D,2005,0.3848874912911316
AZ,D,2006,0.3848874912911316
AZ,D,2007,0.3587680170088884
AZ,D,2008,0.34865889582947057
AZ,D,2009,0.32548511486702425
AZ,D,2010,0.32548511486702425
AZ,D,2011,0.296825462626032
AZ,D,2012,0.3274402453665619
AZ,D,2013,0.37140415113224146
AZ,D,2014,0.35627101395512856
AZ,D,2016,0.4273017380754715
AZ,R,1996,0.4020076713845926
AZ,R,1997,0.3671139072690982
AZ,R,1998,0.3671139072690982
AZ,R,1999,0.3724760661731098
AZ,R,2e3,0.3724760661731098
AZ,R,2001,0.5043600723091416
AZ,R,2002,0.5033455659188415
AZ,R,2003,0.5664589239747286
AZ,R,2004,0.5664589239747286
AZ,R,2005,0.5623862622485194
AZ,R,2006,0.5337375522004049
AZ,R,2007,0.5116885945602367
AZ,R,2008,0.5116885945602367
AZ,R,2009,0.40115797093795713
AZ,R,2010,0.3901261859543436
AZ,R,2011,0.37207512337684906
AZ,R,2012,0.3690564402602412
AZ,R,2013,0.4071803654401818
AZ,R,2014,0.4071803654401818
AZ,R,2016,0.36865499314162825
CA,D,1993,0.4135693621956766
CA,D,1994,0.4135693621956766
CA,D,1995,0.355474666982609
CA,D,1996,0.355474666982609
CA,D,1997,0.3415013078081434
CA,D,1998,0.3415013078081434
CA,D,1999,0.4164042368139795
CA,D,2e3,0.4164042368139795
CA,D,2001,0.4851216762672162
CA,D,2002,0.4851216762672162
CA,D,2003,0.515704062818785
CA,D,2004,0.515704062818785
CA,D,2005,0.5093620523307659
CA,D,2006,0.5093620523307659
CA,D,2007,0.4226453740961776
CA,D,2008,0.4226453740961776
CA,D,2009,0.3965702143403621
CA,D,2010,0.4106370813678041
CA,D,2011,0.40044176397429077
CA,D,2012,0.40044176397429077
CA,D,2013,0.5163696237306066
CA,D,2014,0.518749881668073
CA,D,2015,0.48770961460172424
CA,D,2016,0.4976030328289238
CA,R,1993,0.41190624086132055
CA,R,1994,0.41190624086132055
CA,R,1995,0.40370677561385165
CA,R,1996,0.40370677561385165
CA,R,1997,0.347922308040793
CA,R,1998,0.347922308040793
CA,R,1999,0.3556041301490075
CA,R,2e3,0.3556041301490075
CA,R,2001,0.2872904033588121
CA,R,2002,0.2872904033588121
CA,R,2003,0.3449197648051295
CA,R,2004,0.3449197648051295
CA,R,2005,0.36521897844682427
CA,R,2006,0.36521897844682427
CA,R,2007,0.3103086847619797
CA,R,2008,0.3103086847619797
CA,R,2009,0.31036001240750605
CA,R,2010,0.3030455703765817
CA,R,2011,0.4623342016562954
CA,R,2012,0.4623342016562954
CA,R,2013,0.4391332289335701
CA,R,2014,0.4391332289335701
CA,R,2015,0.39900454672456837
CA,R,2016,0.40457977917933285
CO,D,1996,0.4638526070927266
CO,D,1997,0.4554292448904103
CO,D,1998,0.4554292448904103
CO,D,1999,0.3665312947075597
CO,D,2e3,0.3665312947075597
CO,D,2001,0.3123917430720619
CO,D,2002,0.3123917430720619
CO,D,2003,0.3410055802287207
CO,D,2004,0.3638844153366117
CO,D,2005,0.3182314627209984
CO,D,2006,0.3160877314421646
CO,D,2007,0.35985102068080926
CO,D,2008,0.3538585105841323
CO,D,2009,0.4052150027272896
CO,D,2010,0.4052150027272896
CO,D,2011,0.5570032205486902
CO,D,2012,0.5190746149774408
CO,D,2013,0.355644919887569
CO,D,2014,0.34502351426652855
CO,D,2015,0.38755787446600287
CO,D,2016,0.39017125707628036
CO,R,1996,0.4091518726317268
CO,R,1997,0.4022057385189339
